Wavelength (nm),microAmps (mA)
656.0583,0.4016
656.0584,0.40158
656.0585,0.40148
656.0586,0.40154
656.0587,0.40148
656.0588,0.40148
656.0589,0.40162
656.059,0.40152
656.0591,0.40166
656.0592,0.40162
656.0593,0.4016
656.0594,0.40171
656.0595,0.40171
656.0596,0.40152
656.0597,0.40152
656.0598,0.4016
656.0599,0.40156
656.06,0.4016
656.0601,0.40164
656.0602,0.4015
656.0603,0.40148
656.0604,0.40148
656.0605,0.40152
656.0606,0.40162
656.0607,0.40173
656.0608,0.40138
656.0609,0.40158
656.061,0.40154
656.0611,0.40175
656.0612,0.40169
656.0613,0.40166
656.0614,0.40164
656.0615,0.40166
656.0616,0.40171
656.0617,0.40162
656.0618,0.40169
656.0619,0.40171
656.062,0.4013
656.0621,0.4016
656.0622,0.40162
656.0623,0.40166
656.0624,0.4016
656.0625,0.40169
656.0626,0.40158
656.0627,0.40156
656.0628,0.40152
656.0629,0.4015
656.063,0.40162
656.0631,0.40162
656.0632,0.40162
656.0633,0.4016
656.0634,0.40169
656.0635,0.40156
656.0636,0.40164
656.0637,0.4015
656.0638,0.40162
656.0639,0.40142
656.064,0.40158
656.0641,0.40154
656.0642,0.40175
656.0643,0.40162
656.0644,0.40148
656.0645,0.40166
656.0646,0.40146
656.0647,0.40162
656.0648,0.40144
656.0649,0.40162
656.065,0.40158
656.0651,0.40156
656.0652,0.40156
656.0653,0.40158
656.0654,0.40154
656.0655,0.4016
656.0656,0.40134
656.0657,0.40152
656.0658,0.40146
656.0659,0.40166
656.066,0.40144
656.0661,0.4015
656.0662,0.40162
656.0663,0.40169
656.0664,0.40166
656.0665,0.40162
656.0666,0.40156
656.0667,0.40156
656.0668,0.40158
656.0669,0.40169
656.067,0.40171
656.0671,0.40173
656.0672,0.40146
656.0673,0.40152
656.0674,0.40181
656.0675,0.40156
656.0676,0.40166
656.0677,0.40142
656.0678,0.40162
656.0679,0.40152
656.068,0.40146
656.0681,0.40156
656.0682,0.4016
656.0683,0.40136
656.0684,0.40166
656.0685,0.40158
656.0686,0.40166
656.0687,0.4015
656.0688,0.40187
656.0689,0.40152
656.069,0.4016
656.0691,0.40148
656.0692,0.40175
656.0693,0.40171
656.0694,0.40164
656.0695,0.40164
656.0696,0.40146
656.0697,0.40152
656.0698,0.40156
656.0699,0.40142
656.07,0.40162
656.0701,0.40173
656.0702,0.40164
656.0703,0.40142
656.0704,0.40138
656.0705,0.40136
656.0706,0.40148
656.0707,0.40169
656.0708,0.40162
656.0709,0.40158
656.071,0.40171
656.0711,0.4016
656.0712,0.40158
656.0713,0.40164
656.0714,0.40152
656.0715,0.4016
656.0716,0.40148
656.0717,0.40164
656.0718,0.40156
656.0719,0.40158
656.072,0.4016
656.0721,0.4015
656.0722,0.40169
656.0723,0.40162
656.0724,0.4015
