wavelength (nm),microAmps (mA)
433.8533,0.40108
433.8534,0.40108
433.8535,0.40104
433.8536,0.40103
433.8537,0.4011
433.8538,0.40103
433.8539,0.40107
433.854,0.40093
433.8541,0.40107
433.8542,0.40105
433.8543,0.401
433.8544,0.40104
433.8545,0.40101
433.8546,0.40097
433.8547,0.40102
433.8548,0.40095
433.8549,0.40097
433.855,0.401
433.8551,0.40104
433.8552,0.40104
433.8553,0.40097
433.8554,0.40106
433.8555,0.40105
433.8556,0.40105
433.8557,0.40106
433.8558,0.40108
433.8559,0.40102
433.856,0.40102
433.8561,0.401
433.8562,0.40104
433.8563,0.40101
433.8564,0.40108
433.8565,0.4011
433.8566,0.40099
433.8567,0.40112
433.8568,0.40106
433.8569,0.40101
433.857,0.40101
433.8571,0.40107
433.8572,0.4011
433.8573,0.40103
433.8574,0.40101
433.8575,0.40106
433.8576,0.40103
433.8577,0.40107
433.8578,0.40104
433.8579,0.40099
433.858,0.40105
433.8581,0.40107
433.8582,0.40103
433.8583,0.40108
433.8584,0.40107
433.8585,0.40099
433.8586,0.40101
433.8587,0.40108
433.8588,0.40095
433.8589,0.40098
433.859,0.40103
433.8591,0.401
433.8592,0.40103
433.8593,0.40111
433.8594,0.40107
433.8595,0.401
433.8596,0.40105
433.8597,0.40113
433.8598,0.401
433.8599,0.40108
433.86,0.4011
433.8601,0.401
433.8602,0.40103
433.8603,0.40111
433.8604,0.40104
433.8605,0.40103
433.8606,0.40103
433.8607,0.40107
433.8608,0.40106
433.8609,0.40103
433.861,0.40101
433.8611,0.40104
433.8612,0.40104
433.8613,0.40105
433.8614,0.40103
433.8615,0.40102
433.8616,0.40111
433.8617,0.40098
433.8618,0.40109
433.8619,0.40101
433.862,0.40094
433.8621,0.401
433.8622,0.40096
433.8623,0.40108
433.8624,0.40102
433.8625,0.40106
433.8626,0.40108
433.8627,0.40102
433.8628,0.40099
433.8629,0.40102
433.863,0.40103
433.8631,0.40111
433.8632,0.40099
433.8633,0.401
433.8634,0.40101
433.8635,0.40108
433.8636,0.40099
433.8637,0.40103
433.8638,0.40104
433.8639,0.40103
433.864,0.40102
433.8641,0.40101
433.8642,0.40104
433.8643,0.40098
433.8644,0.40103
433.8645,0.40104
433.8646,0.40103
433.8647,0.40103
433.8648,0.40106
433.8649,0.40103
433.865,0.40097
433.8651,0.40102
433.8652,0.40098
433.8653,0.401
